interaction_id,user_id,item_id,type,note,date
1,1,8,vue,,2025-11-27
2,1,7,vue,,2025-06-12
3,1,9,vue,,2025-05-23
4,2,11,vue,,2025-04-06
5,2,2,vue,,2025-05-21
6,3,8,vue,,2025-02-07
7,3,7,note,4,2025-04-21
8,3,9,vue,,2025-11-15
9,4,8,note,5,2025-06-08
10,4,9,note,3,2025-09-16
11,4,7,vue,,2025-01-28
12,5,5,vue,,2025-09-28
13,5,11,note,3,2025-11-18
14,5,4,achat,,2025-11-11
15,5,4,note,5,2025-11-14
16,5,18,vue,,2025-01-24
17,5,6,note,4,2025-09-25
18,5,12,vue,,2025-02-28
19,6,7,vue,,2025-03-18
20,6,8,note,2,2025-10-11
21,7,13,note,4,2025-04-02
22,7,14,vue,,2025-10-03
23,8,13,achat,,2025-09-06
24,8,13,note,5,2025-09-09
25,8,14,vue,,2025-04-18
26,9,18,vue,,2025-11-21
27,9,6,vue,,2025-09-15
28,10,4,achat,,2025-01-03
29,10,6,vue,,2025-02-02
30,10,18,note,3,2025-09-08
31,10,12,vue,,2025-08-07
32,10,11,vue,,2025-12-19
33,11,11,vue,,2025-12-02
34,11,4,achat,,2025-11-04
35,11,4,note,4,2025-11-07
36,11,14,note,3,2025-04-07
37,11,18,vue,,2025-08-05
38,11,6,vue,,2025-05-15
39,11,5,vue,,2025-02-15
40,11,12,note,3,2025-01-21
41,12,16,note,4,2025-03-14
42,12,15,vue,,2025-04-28
43,13,1,achat,,2025-12-26
44,13,10,achat,,2025-03-07
45,13,10,note,3,2025-03-10
46,13,5,achat,,2025-09-02
47,13,12,vue,,2025-10-16
48,13,4,vue,,2025-09-06
49,13,3,vue,,2025-09-03
50,13,6,note,3,2025-10-03
51,14,11,note,4,2025-10-20
52,14,4,vue,,2025-02-14
53,15,9,vue,,2025-10-19
54,15,7,note,3,2025-09-07
55,15,6,vue,,2025-03-12
56,15,12,note,4,2025-06-10
57,15,5,vue,,2025-09-23
58,15,11,vue,,2025-11-17
59,15,8,vue,,2025-09-10
60,15,18,note,3,2025-03-09
61,15,4,vue,,2025-02-24
62,16,7,vue,,2025-11-28
63,16,8,vue,,2025-08-09
64,16,9,note,2,2025-02-21
65,17,9,vue,,2025-08-18
66,17,3,achat,,2025-09-01
67,17,3,note,4,2025-09-04
68,17,12,vue,,2025-06-19
69,17,11,achat,,2025-07-05
70,17,11,note,4,2025-07-08
71,18,7,vue,,2025-09-28
72,18,8,vue,,2025-10-24
73,18,9,vue,,2025-04-28
74,19,4,vue,,2025-12-04
75,19,5,vue,,2025-01-28
76,19,6,vue,,2025-04-27
77,19,12,note,4,2025-05-27
78,19,18,achat,,2025-04-08
79,19,18,note,4,2025-04-11
80,19,11,vue,,2025-05-28
81,20,3,achat,,2025-07-22
82,20,12,vue,,2025-01-04
